Entity,Code,Year,Number of deaths in ongoing conflicts (best estimate) - Conflict_type: all
Africa,,1989,40978
Africa,,1990,72786
Africa,,1991,33941
Africa,,1992,18435
Africa,,1993,34761
Africa,,1994,791155
Africa,,1995,19431
Africa,,1996,48375
Africa,,1997,44360
Africa,,1998,35378
Africa,,1999,73907
Africa,,2000,67686
Africa,,2001,16299
Africa,,2002,21742
Africa,,2003,18755
Africa,,2004,17224
Africa,,2005,5117
Africa,,2006,7529
Africa,,2007,5694
Africa,,2008,8127
Africa,,2009,12362
Africa,,2010,7130
Africa,,2011,13938
Africa,,2012,10786
Africa,,2013,15242
Africa,,2014,24222
Africa,,2015,20470
Africa,,2016,16316
Africa,,2017,17995
Africa,,2018,15149
Africa,,2019,15310
Africa,,2020,22297
Africa,,2021,31862
Africa,,2022,125600
Americas,,1989,9414
Americas,,1990,3586
Americas,,1991,2982
Americas,,1992,3270
Americas,,1993,1420
Americas,,1994,2241
Americas,,1995,1412
Americas,,1996,1540
Americas,,1997,1052
Americas,,1998,1686
Americas,,1999,2207
Americas,,2000,4373
Americas,,2001,7782
Americas,,2002,5802
Americas,,2003,2486
Americas,,2004,2362
Americas,,2005,2038
Americas,,2006,1230
Americas,,2007,2286
Americas,,2008,2603
Americas,,2009,4117
Americas,,2010,4117
Americas,,2011,3347
Americas,,2012,2167
Americas,,2013,889
Americas,,2014,1756
Americas,,2015,1858
Americas,,2016,1456
Americas,,2017,4369
Americas,,2018,11470
Americas,,2019,13717
Americas,,2020,19109
Americas,,2021,21689
Americas,,2022,16215
Asia and Oceania,,1989,14266
Asia and Oceania,,1990,14543
Asia and Oceania,,1991,17648
Asia and Oceania,,1992,19495
Asia and Oceania,,1993,10482
Asia and Oceania,,1994,13306
Asia and Oceania,,1995,14516
Asia and Oceania,,1996,13572
Asia and Oceania,,1997,13182
Asia and Oceania,,1998,19663
Asia and Oceania,,1999,12600
Asia and Oceania,,2000,16300
Asia and Oceania,,2001,11204
Asia and Oceania,,2002,10615
Asia and Oceania,,2003,7613
Asia and Oceania,,2004,8160
Asia and Oceania,,2005,6880
Asia and Oceania,,2006,11669
Asia and Oceania,,2007,14204
Asia and Oceania,,2008,21497
Asia and Oceania,,2009,27556
Asia and Oceania,,2010,16797
Asia and Oceania,,2011,13192
Asia and Oceania,,2012,13543
Asia and Oceania,,2013,12768
Asia and Oceania,,2014,17585
Asia and Oceania,,2015,22285
Asia and Oceania,,2016,21392
Asia and Oceania,,2017,25679
Asia and Oceania,,2018,28855
Asia and Oceania,,2019,32657
Asia and Oceania,,2020,22481
Asia and Oceania,,2021,39461
Asia and Oceania,,2022,5850
Europe,,1989,625
Europe,,1990,434
Europe,,1991,3792
Europe,,1992,31456
Europe,,1993,17404
Europe,,1994,9284
Europe,,1995,20202
Europe,,1996,2763
Europe,,1997,55
Europe,,1998,1547
Europe,,1999,8382
Europe,,2000,4318
Europe,,2001,1051
Europe,,2002,1493
Europe,,2003,548
Europe,,2004,1518
Europe,,2005,759
Europe,,2006,259
Europe,,2007,176
Europe,,2008,1055
Europe,,2009,696
Europe,,2010,476
Europe,,2011,396
Europe,,2012,541
Europe,,2013,361
Europe,,2014,5151
Europe,,2015,2077
Europe,,2016,598
Europe,,2017,527
Europe,,2018,296
Europe,,2019,340
Europe,,2020,7878
Europe,,2021,248
Europe,,2022,82968
Middle East,,1989,1725
Middle East,,1990,3995
Middle East,,1991,25574
Middle East,,1992,2884
Middle East,,1993,3568
Middle East,,1994,6961
Middle East,,1995,5014
Middle East,,1996,5094
Middle East,,1997,5244
Middle East,,1998,2248
Middle East,,1999,1575
Middle East,,2000,482
Middle East,,2001,587
Middle East,,2002,1006
Middle East,,2003,8582
Middle East,,2004,5153
Middle East,,2005,4251
Middle East,,2006,6289
Middle East,,2007,5582
Middle East,,2008,4074
Middle East,,2009,2880
Middle East,,2010,2384
Middle East,,2011,7819
Middle East,,2012,58571
Middle East,,2013,81352
Middle East,,2014,100068
Middle East,,2015,80662
Middle East,,2016,71974
Middle East,,2017,55055
Middle East,,2018,29204
Middle East,,2019,16258
Middle East,,2020,14265
Middle East,,2021,26882
Middle East,,2022,6359
World,OWID_WRL,1989,67008
World,OWID_WRL,1990,95344
World,OWID_WRL,1991,83937
World,OWID_WRL,1992,75540
World,OWID_WRL,1993,67635
World,OWID_WRL,1994,822947
World,OWID_WRL,1995,60575
World,OWID_WRL,1996,71344
World,OWID_WRL,1997,63893
World,OWID_WRL,1998,60522
World,OWID_WRL,1999,98671
World,OWID_WRL,2000,93159
World,OWID_WRL,2001,36923
World,OWID_WRL,2002,40658
World,OWID_WRL,2003,37984
World,OWID_WRL,2004,34417
World,OWID_WRL,2005,19045
World,OWID_WRL,2006,26976
World,OWID_WRL,2007,27942
World,OWID_WRL,2008,37356
World,OWID_WRL,2009,47611
World,OWID_WRL,2010,30904
World,OWID_WRL,2011,38692
World,OWID_WRL,2012,85608
World,OWID_WRL,2013,110612
World,OWID_WRL,2014,148782
World,OWID_WRL,2015,127352
World,OWID_WRL,2016,111736
World,OWID_WRL,2017,103625
World,OWID_WRL,2018,84974
World,OWID_WRL,2019,78282
World,OWID_WRL,2020,86030
World,OWID_WRL,2021,120142
World,OWID_WRL,2022,236992
