Entity,Code,Year,Research and development expenditure (% of GDP)
Albania,ALB,2007,0.08757
Albania,ALB,2008,0.15412
Algeria,DZA,2001,0.23028
Algeria,DZA,2002,0.3664
Algeria,DZA,2003,0.19623
Algeria,DZA,2004,0.16357
Algeria,DZA,2005,0.06604
Algeria,DZA,2017,0.53432
American Samoa,ASM,2003,0.18787
American Samoa,ASM,2004,0.32528
American Samoa,ASM,2005,0.36692
American Samoa,ASM,2006,0.39552
Angola,AGO,2016,0.03229
Argentina,ARG,1996,0.41749
Argentina,ARG,1997,0.41959
Argentina,ARG,1998,0.41131
Argentina,ARG,1999,0.45337
Argentina,ARG,2000,0.43884
Argentina,ARG,2001,0.42461
Argentina,ARG,2002,0.38886
Argentina,ARG,2003,0.41013
Argentina,ARG,2004,0.40376
Argentina,ARG,2005,0.42074
Argentina,ARG,2006,0.45216
Argentina,ARG,2007,0.46007
Argentina,ARG,2008,0.47055
Argentina,ARG,2009,0.58398
Argentina,ARG,2010,0.56104
Argentina,ARG,2011,0.56597
Argentina,ARG,2012,0.63491
Argentina,ARG,2013,0.61849
Argentina,ARG,2014,0.59396
Argentina,ARG,2015,0.62262
Argentina,ARG,2016,0.55815
Argentina,ARG,2017,0.55631
Argentina,ARG,2018,0.49435
Argentina,ARG,2019,0.45713
Armenia,ARM,1997,0.18692
Armenia,ARM,1998,0.22601
Armenia,ARM,1999,0.214
Armenia,ARM,2000,0.19106
Armenia,ARM,2001,0.27987
Armenia,ARM,2002,0.25255
Armenia,ARM,2003,0.32109
Armenia,ARM,2004,0.25659
Armenia,ARM,2005,0.25761
Armenia,ARM,2006,0.24057
Armenia,ARM,2007,0.21107
Armenia,ARM,2008,0.22438
Armenia,ARM,2009,0.29093
Armenia,ARM,2010,0.24139
Armenia,ARM,2011,0.27014
Armenia,ARM,2012,0.23853
Armenia,ARM,2013,0.22216
Armenia,ARM,2014,0.24151
Armenia,ARM,2015,0.25002
Armenia,ARM,2016,0.23305
Armenia,ARM,2017,0.22788
Armenia,ARM,2018,0.18876
Armenia,ARM,2019,0.17854
Armenia,ARM,2020,0.20921
Australia,AUS,1996,1.66323
Australia,AUS,1998,1.51453
Australia,AUS,2000,1.57424
Australia,AUS,2002,1.74854
Australia,AUS,2004,1.8495
Australia,AUS,2006,2.18113
Australia,AUS,2008,2.40112
Australia,AUS,2010,2.37286
Australia,AUS,2011,2.23563
Australia,AUS,2013,2.17849
Australia,AUS,2015,1.92083
Australia,AUS,2017,1.87926
Australia,AUS,2019,1.82928
Austria,AUT,1996,1.58077
Austria,AUT,1997,1.65491
Austria,AUT,1998,1.73155
Austria,AUT,1999,1.84537
Austria,AUT,2000,1.88602
Austria,AUT,2001,1.9921
Austria,AUT,2002,2.06598
Austria,AUT,2003,2.17456
Austria,AUT,2004,2.16612
Austria,AUT,2005,2.37324
Austria,AUT,2006,2.35923
Austria,AUT,2007,2.41843
Austria,AUT,2008,2.56945
Austria,AUT,2009,2.59674
Austria,AUT,2010,2.7261
Austria,AUT,2011,2.66868
Austria,AUT,2012,2.91472
Austria,AUT,2013,2.95492
Austria,AUT,2014,3.08429
Austria,AUT,2015,3.04969
Austria,AUT,2016,3.11655
Austria,AUT,2017,3.05656
Austria,AUT,2018,3.09058
Austria,AUT,2019,3.12972
Austria,AUT,2020,3.20128
Azerbaijan,AZE,1996,0.23533
Azerbaijan,AZE,1997,0.3695
Azerbaijan,AZE,1998,0.42125
Azerbaijan,AZE,1999,0.39289
Azerbaijan,AZE,2000,0.336
Azerbaijan,AZE,2001,0.34001
Azerbaijan,AZE,2002,0.30155
Azerbaijan,AZE,2003,0.32496
Azerbaijan,AZE,2004,0.29831
Azerbaijan,AZE,2005,0.21994
Azerbaijan,AZE,2006,0.17165
Azerbaijan,AZE,2007,0.17006
Azerbaijan,AZE,2008,0.16554
Azerbaijan,AZE,2009,0.24976
Azerbaijan,AZE,2010,0.21848
Azerbaijan,AZE,2011,0.21084
Azerbaijan,AZE,2012,0.21427
Azerbaijan,AZE,2013,0.20969
Azerbaijan,AZE,2014,0.20978
Azerbaijan,AZE,2015,0.22232
Azerbaijan,AZE,2016,0.20637
Azerbaijan,AZE,2017,0.18468
Azerbaijan,AZE,2018,0.18416
Azerbaijan,AZE,2019,0.20013
